Name,X,Y,Lon,Lat,Color,Label,Desc,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,fai,ndvi
pin_1,533.5,4633.5,105.965298,11.33942758,"java.awt.Color[r=0,g=0,b=255]",W,,0.0967,0.1241,0.146,0.1314,0.16,0.1357,0.1401,0.1274,0.1344,0.1213,0.1136,0.1046,-6.66E-04,-0.015455982
pin_2,510.5,4643.5,105.9631874,11.33853021,"java.awt.Color[r=0,g=0,b=255]",W,,0.0741,0.0633,0.0815,0.0592,0.0768,0.0566,0.062,0.0566,0.0514,0.0803,0.0359,0.0306,0.001764128,-0.022452498
pin_3,501.5,4655.5,105.9623591,11.33744779,"java.awt.Color[r=0,g=0,b=255]",WH,,0.051,0.045,0.0842,0.0405,0.1273,0.4669,0.5452,0.5384,0.5702,0.4937,0.1924,0.0888,0.4694489,0.86007947
pin_4,526.5,4668.5,105.9646459,11.33626479,"java.awt.Color[r=0,g=0,b=255]",WH,,0.0591,0.0484,0.0861,0.0431,0.1257,0.4049,0.4727,0.4428,0.4826,0.3865,0.1783,0.0801,0.3743768,0.82259727
pin_5,566.5,4702.5,105.9683008,11.33317835,"java.awt.Color[r=0,g=0,b=255]",WH,,0.0911,0.0512,0.0884,0.0467,0.1263,0.419,0.4701,0.4653,0.4832,0.282,0.1789,0.0862,0.39383873,0.81757814
pin_6,548.5,4688.5,105.9666557,11.3344497,"java.awt.Color[r=0,g=0,b=255]",WH,,0.0675,0.0539,0.0884,0.0528,0.134,0.3886,0.4325,0.4388,0.452,0.3612,0.2004,0.103,0.3583543,0.78519124
pin_7,579.5,4711.5,105.9694893,11.33236062,"java.awt.Color[r=0,g=0,b=255]",W,,0.0824,0.0602,0.0793,0.0579,0.0728,0.0514,0.0477,0.0438,0.0471,0.1161,0.0599,0.0468,-0.014474603,-0.13864307
pin_8,578.5,4722.5,105.9693943,11.33136624,"java.awt.Color[r=0,g=0,b=255]",W,,0.0941,0.1108,0.1376,0.1175,0.1494,0.1148,0.125,0.1154,0.1111,0.1931,0.1106,0.0967,-8.08E-04,-0.009016738
pin_9,632.5,4746.5,105.9743349,11.32917977,"java.awt.Color[r=0,g=0,b=255]",WH,,0.0858,0.0524,0.085,0.0464,0.1268,0.363,0.4155,0.4376,0.413,0.1812,0.1516,0.0818,0.37149587,0.80826443
pin_10,648.5,4741.5,105.9758025,11.32962705,"java.awt.Color[r=0,g=0,b=255]",W,,0.0918,0.1068,0.1274,0.1065,0.1296,0.1015,0.102,0.0977,0.0926,0.1005,0.0823,0.0743,-0.004267301,-0.043095004
pin_11,714.5,4742.5,105.9818496,11.3295166,"java.awt.Color[r=0,g=0,b=255]",W,,0.1124,0.1275,0.1562,0.143,0.1617,0.1327,0.131,0.1212,0.1264,0.1249,0.1166,0.1061,-0.01685524,-0.08251326
pin_12,735.5,4787.5,105.9837599,11.32544109,"java.awt.Color[r=0,g=0,b=255]",W,,0.0813,0.0864,0.1086,0.0902,0.1047,0.0771,0.0778,0.0725,0.0727,0.0832,0.0655,0.0574,-0.013073652,-0.10878919
pin_13,732.5,4816.5,105.9834761,11.32281969,"java.awt.Color[r=0,g=0,b=255]",W,,0.072,0.0589,0.0797,0.0536,0.0739,0.0341,0.0441,0.033,0.0291,0.0762,0.0383,0.0349,-0.017734285,-0.23787528
pin_14,732.5,4852.5,105.983465,11.3195644,"java.awt.Color[r=0,g=0,b=255]",W,,0.1175,0.1397,0.1729,0.155,0.1697,0.1371,0.139,0.1376,0.1295,0.154,0.1233,0.1085,-0.011462536,-0.059466835
pin_15,721.5,4913.5,105.9824383,11.31405183,"java.awt.Color[r=0,g=0,b=255]",W,,0.0707,0.0597,0.076,0.0568,0.0651,0.0343,0.0306,0.0333,0.0147,0.0917,0.0274,0.0215,-0.017993333,-0.26082128
pin_16,712.5,4922.5,105.9816109,11.31324075,"java.awt.Color[r=0,g=0,b=255]",W,,0.0946,0.124,0.1513,0.1325,0.1483,0.1173,0.117,0.1145,0.1,0.1671,0.106,0.0944,-0.013036501,-0.072874464
pin_17,713.5,4941.5,105.9816967,11.31152237,"java.awt.Color[r=0,g=0,b=255]",W,,0.0911,0.1164,0.1364,0.1223,0.1346,0.1702,0.1919,0.1201,0.1916,0.2751,0.1238,0.0885,-0.002480953,-0.009075908
pin_18,748.5,4968.5,105.9848951,11.30907025,"java.awt.Color[r=0,g=0,b=255]",WH,,0.0638,0.0452,0.0821,0.0421,0.1238,0.4012,0.4576,0.4712,0.4857,0.3904,0.1761,0.0812,0.40400156,0.83596337
pin_19,765.5,4976.5,105.9864502,11.30834167,"java.awt.Color[r=0,g=0,b=255]",WH,,0.05,0.0445,0.0836,0.0406,0.1249,0.4039,0.4594,0.4769,0.4773,0.3793,0.1723,0.0762,0.4116324,0.8430918
pin_20,796.5,4994.5,105.9892849,11.30670454,"java.awt.Color[r=0,g=0,b=255]",WH,,0.0519,0.0451,0.0838,0.0414,0.1262,0.4115,0.4683,0.4795,0.4856,0.3787,0.1738,0.0814,0.41330126,0.84104437
pin_21,811.5,4999.5,105.9906576,11.30624783,"java.awt.Color[r=0,g=0,b=255]",WH,,0.0682,0.0519,0.085,0.0462,0.1094,0.2635,0.3028,0.3345,0.3025,0.2992,0.1325,0.0651,0.27213588,0.75728923
pin_22,866.5,5015.5,105.9956918,11.30478413,"java.awt.Color[r=0,g=0,b=255]",WH,,0.0509,0.0441,0.0828,0.0401,0.124,0.3959,0.4408,0.4295,0.4595,0.3529,0.1666,0.077,0.36570635,0.82921636
pin_23,853.5,5010.5,105.9945023,11.30524026,"java.awt.Color[r=0,g=0,b=255]",WH,,0.0556,0.0504,0.079,0.0452,0.1144,0.3156,0.3532,0.3168,0.3526,0.3306,0.137,0.0698,0.2544057,0.7502762
pin_24,844.5,5009.5,105.993678,11.30533345,"java.awt.Color[r=0,g=0,b=255]",WH,,0.0747,0.0553,0.0925,0.0565,0.1124,0.2605,0.278,0.2782,0.3049,0.2396,0.1215,0.0659,0.20952539,0.6623842
pin_25,881.5,5018.5,105.9970651,11.30450823,"java.awt.Color[r=0,g=0,b=255]",WH,,0.0458,0.045,0.082,0.038,0.1282,0.4285,0.4897,0.4868,0.5086,0.4457,0.1793,0.0805,0.42233428,0.85518295
pin_26,891.5,5018.5,105.9979813,11.30450515,"java.awt.Color[r=0,g=0,b=255]",WH,,0.0586,0.0442,0.0842,0.0401,0.1311,0.4524,0.5266,0.5155,0.5512,0.3764,0.1833,0.0807,0.44857842,0.85565156
pin_27,953.5,4963.5,106.003679,11.30945928,"java.awt.Color[r=0,g=0,b=255]",WH,,0.05,0.0457,0.0827,0.0423,0.1241,0.397,0.4642,0.4571,0.4801,0.4848,0.1738,0.0796,0.39016983,0.8305967
pin_28,990.5,4971.5,106.0070665,11.30872437,"java.awt.Color[r=0,g=0,b=255]",WH,,0.0546,0.0513,0.0818,0.0428,0.1187,0.3263,0.3827,0.3654,0.3806,0.3206,0.1476,0.0682,0.30297077,0.7902989
pin_29,986.5,4969.5,106.0067006,11.30890647,"java.awt.Color[r=0,g=0,b=255]",WH,,0.05,0.0458,0.0818,0.0438,0.1225,0.3398,0.3733,0.349,0.3968,0.3837,0.1517,0.0699,0.28499016,0.77698576
pin_30,1013.5,4978.5,106.0091715,11.30808423,"java.awt.Color[r=0,g=0,b=255]",WH,,0.0738,0.0545,0.0883,0.0494,0.1288,0.2638,0.2858,0.3574,0.3089,0.2462,0.129,0.079,0.2930908,0.7571288
pin_31,1029.5,4981.5,106.0106365,11.30780796,"java.awt.Color[r=0,g=0,b=255]",WH,,0.0911,0.0779,0.1034,0.0794,0.1135,0.2053,0.2155,0.2048,0.2172,0.1517,0.1079,0.0707,0.1200619,0.44123855
pin_32,1045.5,4992.5,106.012099,11.30680828,"java.awt.Color[r=0,g=0,b=255]",WH,,0.0914,0.0733,0.1038,0.077,0.1345,0.2214,0.2456,0.281,0.2145,0.2196,0.1221,0.0845,0.19555269,0.5698324
pin_33,1044.5,4992.5,106.0120073,11.3068086,"java.awt.Color[r=0,g=0,b=255]",WH,,0.0914,0.062,0.0921,0.0578,0.1345,0.2214,0.2456,0.3128,0.2145,0.2196,0.1221,0.0845,0.2429565,0.6880734
pin_34,1058.5,4999.5,106.0132878,11.30617124,"java.awt.Color[r=0,g=0,b=255]",W,,0.0711,0.0566,0.0785,0.0578,0.0763,0.0416,0.0538,0.0356,0.0412,0.1093,0.0366,0.0257,-0.018229207,-0.23768736
