,0
2018-01-01,2.57
2018-01-03,1.9100000000000001
2018-01-08,0.08
2018-01-11,5.45
2018-01-13,3.3200000000000003
2018-01-21,0.0
2018-02-05,7.319999999999999
2018-02-12,7.119999999999999
2018-02-17,6.77
2018-02-20,12.870000000000001
2018-02-22,15.1
2018-02-25,11.77
2018-02-27,9.79
2018-03-04,9.31
2018-03-07,5.23
2018-03-09,12.47
2018-03-12,0.52
2018-03-14,7.86
2018-03-17,1.03
2018-03-22,0.63
2018-03-24,10.479999999999999
2018-03-27,0.13
2018-04-11,1.6400000000000001
2018-04-13,14.040000000000001
2018-04-21,1.7
2018-04-26,5.31
2018-04-28,9.93
2018-05-01,5.76
2018-05-06,1.04
2018-05-16,0.36
2018-06-05,0.87
2018-06-20,1.69
2018-06-22,0.15000000000000002
2018-06-30,1.23
2018-07-20,0.82
2018-08-04,0.39
2018-08-29,0.55
2018-09-05,13.1
2018-09-25,0.75
2018-10-08,0.01
2018-10-18,0.13999999999999999
2018-10-23,2.17
2018-10-28,2.8400000000000003
2018-10-30,1.76
2018-11-09,2.67
2018-11-22,2.75
2018-11-27,1.25
2018-12-02,1.2000000000000002
2018-12-04,1.45
2018-12-09,1.42
2018-12-17,4.33
2018-12-24,3.43
2018-12-29,1.8900000000000001
2019-01-06,5.97
2019-01-11,3.09
2019-01-16,6.9
2019-01-18,7.64
2019-01-23,4.76
2019-01-28,4.41
2019-01-31,7.73
2019-02-07,4.949999999999999
2019-02-10,5.18
2019-02-12,18.79
2019-02-15,21.35
2019-02-17,5.96
2019-02-20,5.46
2019-02-25,3.55
2019-02-27,10.16
2019-03-09,0.12
2019-03-17,5.56
2019-04-01,2.8299999999999996
2019-04-21,0.23
2019-04-23,10.049999999999999
2019-05-01,7.48
2019-05-06,1.3199999999999998
2019-05-21,2.7199999999999998
2019-05-26,2.07
2019-06-15,3.38
2019-06-20,1.13
2019-06-27,1.45
2019-07-07,9.69
2019-07-10,1.5
2019-07-12,14.42
2019-08-01,2.54
2019-08-19,0.61
2019-08-31,3.51
2019-09-23,0.19
2019-09-25,0.29
2019-10-03,0.76
2019-10-13,1.75
2019-10-15,4.449999999999999
2019-10-23,0.8500000000000001
2019-10-28,0.0
2019-10-30,7.07
2019-11-12,3.2
2019-11-14,0.09
2019-11-17,0.04
2019-11-19,0.8899999999999999
2019-11-22,0.41
2019-11-24,2.14
2019-11-27,4.59
2019-11-29,2.46
2019-12-09,4.17
2019-12-14,5.01
2019-12-17,54.730000000000004
2019-12-24,9.7
2019-12-27,0.19
2019-12-29,3.99
2020-01-01,5.01
2020-01-03,9.41
2020-01-06,4.41
2020-01-13,4.3100000000000005
2020-01-16,1.7000000000000002
2020-01-21,35.6
2020-01-23,10.57
2020-01-26,17.78
2020-01-28,3.49
2020-02-05,50.809999999999995
2020-02-07,53.629999999999995
2020-02-10,0.0
2020-02-12,5.8100000000000005
2020-02-15,5.99
2020-02-20,58.53
2020-02-22,39.57
2020-02-25,5.430000000000001
2020-02-27,7.5200000000000005
2020-03-01,2.17
2020-03-13,0.7999999999999999
2020-03-16,10.780000000000001
2020-03-21,10.02
2020-03-26,0.14
2020-04-05,0.44
2020-04-15,7.109999999999999
2020-04-17,0.32999999999999996
2020-04-20,20.060000000000002
2020-04-25,8.2
2020-04-27,26.21
2020-04-30,30.27
2020-07-09,9.82
2020-07-14,16.38
2020-07-29,3.29
2020-08-25,2.51
2020-09-07,3.23
2020-09-22,0.47
2020-11-01,0.7
2020-11-03,1.33
2020-11-16,1.1600000000000001
2020-11-18,0.68
2020-11-21,0.09
2020-11-23,2.75
2020-12-03,6.13
2020-12-06,6.12
2020-12-16,16.74
2020-12-28,10.030000000000001
