,0
2018-01-01,8.69
2018-01-03,1.58
2018-01-08,2.47
2018-01-11,29.15
2018-01-13,1.06
2018-01-21,2.85
2018-02-05,15.870000000000001
2018-02-12,3.09
2018-02-17,18.48
2018-02-20,5.63
2018-02-22,8.62
2018-02-25,1.28
2018-02-27,2.04
2018-03-04,10.89
2018-03-07,8.01
2018-03-09,5.75
2018-03-12,1.63
2018-03-14,5.27
2018-03-17,0.16
2018-03-22,5.050000000000001
2018-03-24,29.47
2018-03-27,1.21
2018-04-11,4.67
2018-04-13,10.0
2018-04-21,3.52
2018-04-26,5.58
2018-04-28,3.63
2018-05-01,27.5
2018-05-06,0.4
2018-05-16,3.1999999999999997
2018-06-05,0.14
2018-06-20,0.9199999999999999
2018-06-22,0.43000000000000005
2018-06-30,0.16
2018-07-20,0.0
2018-08-04,1.6
2018-08-29,0.98
2018-09-05,4.859999999999999
2018-09-25,0.07
2018-10-08,0.01
2018-10-18,1.0
2018-10-23,1.4200000000000002
2018-10-28,2.3200000000000003
2018-10-30,7.659999999999999
2018-11-09,3.2
2018-11-22,1.7600000000000002
2018-11-27,1.05
2018-12-02,1.4
2018-12-04,2.38
2018-12-09,1.88
2018-12-17,17.96
2018-12-24,15.540000000000001
2018-12-29,8.4
2019-01-06,2.66
2019-01-11,1.1199999999999999
2019-01-16,0.01
2019-01-18,1.08
2019-01-23,11.1
2019-01-28,3.87
2019-01-31,4.63
2019-02-07,23.34
2019-02-10,4.69
2019-02-12,45.760000000000005
2019-02-15,10.0
2019-02-17,7.67
2019-02-20,4.29
2019-02-25,4.5600000000000005
2019-02-27,12.120000000000001
2019-03-09,5.880000000000001
2019-03-17,8.76
2019-04-01,2.5100000000000002
2019-04-21,12.52
2019-04-23,30.22
2019-05-01,9.45
2019-05-06,5.01
2019-05-21,3.83
2019-05-26,1.44
2019-06-15,0.77
2019-06-20,2.06
2019-06-27,1.9400000000000002
2019-07-07,3.71
2019-07-10,0.16
2019-07-12,5.93
2019-08-01,21.97
2019-08-19,0.5
2019-08-31,6.03
2019-09-23,0.13
2019-09-25,1.07
2019-10-03,2.26
2019-10-13,1.9
2019-10-15,1.5599999999999998
2019-10-23,0.55
2019-10-28,1.13
2019-10-30,1.7200000000000002
2019-11-12,1.88
2019-11-14,1.94
2019-11-17,1.0
2019-11-19,8.3
2019-11-22,9.209999999999999
2019-11-24,4.54
2019-11-27,4.78
2019-11-29,2.78
2019-12-09,5.49
2019-12-14,9.649999999999999
2019-12-17,22.59
2019-12-24,20.42
2019-12-27,17.0
2019-12-29,34.52
2020-01-01,6.029999999999999
2020-01-03,49.04
2020-01-06,3.52
2020-01-13,16.12
2020-01-16,13.31
2020-01-21,54.45
2020-01-23,31.770000000000003
2020-01-26,65.91
2020-01-28,27.98
2020-02-05,54.830000000000005
2020-02-07,98.66
2020-02-10,27.4
2020-02-12,36.230000000000004
2020-02-15,79.1
2020-02-20,120.31
2020-02-22,68.64
2020-02-25,118.03
2020-02-27,97.08999999999999
2020-03-01,91.07999999999998
2020-03-13,42.38
2020-03-16,94.9
2020-03-21,65.57
2020-03-26,23.900000000000002
2020-04-05,25.560000000000002
2020-04-15,75.3
2020-04-17,24.97
2020-04-20,110.02
2020-04-25,109.59
2020-04-27,81.92
2020-04-30,88.02000000000001
2020-07-09,33.11
2020-07-14,21.27
2020-07-29,2.1799999999999997
2020-08-25,2.93
2020-09-07,7.2
2020-09-22,1.77
2020-11-01,3.42
2020-11-03,2.8400000000000003
2020-11-16,5.5600000000000005
2020-11-18,2.15
2020-11-21,0.05
2020-11-23,2.6799999999999997
2020-12-03,3.33
2020-12-06,4.23
2020-12-16,14.129999999999999
2020-12-28,22.48
